Class,Hull #,Ship Name,Unit Type,Class Name,MG,AA,MD,MS,CC,DF,TF,ARV,Class ID,ID,EW,SONAR,SSM Type,SSM Salvo Size,SSM Total,SAM Type,SAM Salvo Size,SAM Total,ASW Type,ASW Salvo Size,ASW Total,AST Type,AST Salvo Size,AST Total,HELOs,AIR RECON,AIR EW,AIR ASW,AIR EARLY WARNING
BASE,01,America,base_naval,Naval Base,0,40,40,-,-,-,-,-,-,142,5,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
BASE,02,Scapa Flow,base_naval,Flight Center,0,35,0,-,-,-,-,-,-,143,4,0,-,-,-,-,-,-,-,-,-,-,-,-,12,12,2,12,2
BASE,03,Faroes,base_flight_ops,Flight Center,0,30,0,-,-,-,-,-,-,144,4,0,-,-,-,-,-,-,-,-,-,-,-,-,12,6,1,6,1
BASE,04,Iceland,base_flight_ops,Flight Center,0,30,0,-,-,-,-,-,-,145,4,0,-,-,-,-,-,-,-,-,-,-,-,-,12,12,2,6,2
CV,05,Invincible,ship_aircraft_carrier,Invincible,0,0,60,25,12,20,20,0,4,146,4,1,-,-,-,SEADART,4,22,-,-,-,-,-,-,9,0,0,0,0
CV,09,Ark Royal,ship_aircraft_carrier,Invincible,0,0,60,25,12,20,20,0,4,147,4,1,-,-,-,SEADART,4,22,-,-,-,-,-,-,9,0,0,0,0
CVN,68,Nimitz,ship_aircraft_carrier,Nimitz,0,0,75,30,72,97,16,7,1,148,6,0,-,-,-,SPARROW,1,16,-,-,-,-,-,-,6,4,4,10,4
CVN,70,Vinson,ship_aircraft_carrier,Nimitz,0,0,75,30,72,97,16,30,1,149,6,0,-,-,-,SPARROW,1,16,-,-,-,-,-,-,6,4,4,10,4
CV,67,Kennedy,ship_aircraft_carrier,Kitty Hawk,0,0,75,30,72,60,16,55,2,150,6,0,-,-,-,SPARROW,1,24,-,-,-,-,-,-,6,4,4,10,4
CV,63,Kitty Hawk,ship_aircraft_carrier,Kitty Hawk,0,0,75,30,72,60,16,85,2,151,6,0,-,-,-,SPARROW,1,24,-,-,-,-,-,-,6,4,4,10,4
BB,61,Iowa,ship_bombardment,Iowa,9,12,60,30,0,86,16,15,11,152,4,0,TOMAHAWK,32,32,-,-,-,-,-,-,-,-,-,4,0,0,0,0
BB,62,New Jersey,ship_bombardment,Iowa,9,12,60,30,0,86,16,7,11,153,4,0,TOMAHAWK,32,32,-,-,-,-,-,-,-,-,-,4,0,0,0,0
CGN,39,Texas,ship_combat,Virginia,0,2,30,35,0,14,16,7,17,154,4,1,HARPOON,8,16,STANDARD,4,68,ASROC,1,20,MK46 TORP,2,6,2,0,0,0,0
CGN,41,Arkansas,ship_combat,Virginia,0,2,30,35,0,14,16,7,17,155,4,1,HARPOON,8,16,STANDARD,4,68,ASROC,1,20,MK46 TORP,2,6,2,0,0,0,0
CGN,36,California,ship_combat,Virginia,0,2,30,35,0,12,16,30,18,156,4,1,HARPOON,8,8,STANDARD,4,80,ASROC,1,20,MK46 TORP,2,6,0,0,0,0,0
CGN,37,South Carolina,ship_combat,Virginia,0,2,30,35,0,12,16,12,18,157,4,1,HARPOON,8,8,STANDARD,4,80,ASROC,1,20,MK46 TORP,2,6,0,0,0,0,0
CG,47,Ticonderoga,ship_combat,Ticonderoga,0,2,30,35,0,14,16,45,26,158,6,2,HARPOON,8,16,STANDARD,4,88,ASROC,1,20,MK46 TORP,2,6,2,0,0,0,0
CG,48,Yorktown,ship_combat,Ticonderoga,0,2,30,35,0,14,16,50,26,159,6,2,HARPOON,8,16,STANDARD,4,88,ASROC,1,20,MK46 TORP,2,6,2,0,0,0,0
CG,26,Belknap,ship_combat,Belknap,0,1,30,35,0,10,16,12,27,160,4,1,HARPOON,8,16,STANDARD,4,60,ASROC,1,20,MK46 TORP,2,6,1,0,0,0,0
CG,28,Wainwright,ship_combat,Belknap,0,1,30,35,0,10,16,12,27,161,4,1,HARPOON,8,16,STANDARD,4,60,ASROC,1,20,MK46 TORP,2,6,1,0,0,0,0
CG,33,Fox,ship_combat,Belknap,0,1,30,35,0,10,16,25,27,162,4,1,HARPOON,8,16,STANDARD,4,60,ASROC,1,20,MK46 TORP,2,6,1,0,0,0,0
CG,34,Biddle,ship_combat,Belknap,0,1,30,35,0,10,16,25,27,163,4,1,HARPOON,8,16,STANDARD,4,60,ASROC,1,20,MK46 TORP,2,6,1,0,0,0,0
CG,18,Worden,ship_combat,Leahy,0,0,30,35,0,12,16,25,28,164,4,1,HARPOON,8,16,STANDARD,4,80,ASROC,1,20,MK46 TORP,2,6,0,0,0,0,0
CG,21,Gridley,ship_combat,Leahy,0,0,30,35,0,12,16,50,28,165,4,1,HARPOON,8,16,STANDARD,4,80,ASROC,1,20,MK46 TORP,2,6,0,0,0,0,0
CG,23,Halsey,ship_combat,Leahy,0,0,30,35,0,12,16,55,28,166,4,1,HARPOON,8,16,STANDARD,4,80,ASROC,1,20,MK46 TORP,2,6,0,0,0,0,0
CG,24,Reeves,ship_combat,Leahy,0,0,30,35,0,12,16,55,28,167,4,1,HARPOON,8,16,STANDARD,4,80,ASROC,1,20,MK46 TORP,2,6,0,0,0,0,0
DDG,86,Birmingham,ship_combat,Type 42,0,1,2,30,0,8,20,0,31,168,5,2,-,-,-,SEADART,2,22,-,-,-,MK46 TORP,2,6,1,0,0,0,0
DDG,87,Newcastle,ship_combat,Type 42,0,1,2,30,0,8,20,0,31,169,5,2,-,-,-,SEADART,2,22,-,-,-,MK46 TORP,2,6,0,0,0,0,0
DDG,88,Glasgow,ship_combat,Type 42,0,1,2,30,0,8,20,0,31,170,5,2,-,-,-,SEADART,2,22,-,-,-,MK46 TORP,2,6,0,0,0,0,0
DDG,89,Exeter,ship_combat,Type 42,0,1,2,30,0,8,20,0,31,171,5,2,-,-,-,SEADART,2,22,-,-,-,MK46 TORP,2,6,0,0,0,0,0
DDG,90,Southampton,ship_combat,Type 42,0,1,2,30,0,8,20,0,31,172,5,2,-,-,-,SEADART,2,22,-,-,-,MK46 TORP,2,6,0,0,0,0,0
DDG,91,Nottingham,ship_combat,Type 42,0,1,2,30,0,8,20,0,31,173,5,2,-,-,-,SEADART,2,22,-,-,-,MK46 TORP,2,6,0,0,0,0,0
DDG,92,Liverpool,ship_combat,Type 42,0,1,2,30,0,8,20,0,31,174,5,2,-,-,-,SEADART,2,22,-,-,-,MK46 TORP,2,6,0,0,0,0,0
DDG,108,Cardiff,ship_combat,Type 42,0,1,2,30,0,8,20,0,31,175,5,2,-,-,-,SEADART,2,22,-,-,-,MK46 TORP,2,6,0,0,0,0,0
DDG,23,Bristol,ship_combat,Bristol,0,1,2,25,0,12,20,0,32,176,4,2,-,-,-,SEADART,2,40,IKARA,1,24,-,-,-,0,0,0,0,0
DDG,18,Antrim,ship_combat,County,0,2,12,30,0,10,20,0,33,177,4,2,EXOCET,4,4,SEASLUG,1,24,-,-,-,MK46 TORP,2,6,1,0,0,0,0
DDG,19,Glamorgan,ship_combat,County,0,2,12,30,0,10,20,0,33,178,4,2,EXOCET,4,4,SEASLUG,1,24,-,-,-,MK46 TORP,2,6,1,0,0,0,0
DDG,20,Fife,ship_combat,County,0,2,12,30,0,10,20,0,33,179,4,2,EXOCET,4,4,SEASLUG,1,24,-,-,-,MK46 TORP,2,6,1,0,0,0,0
DDG,21,Norfolk,ship_combat,County,0,2,12,30,0,10,20,0,33,180,4,2,EXOCET,4,4,SEASLUG,1,24,-,-,-,MK46 TORP,2,6,1,0,0,0,0
DDG,187,Rommel,ship_combat,Lütjens,0,2,0,30,0,8,16,20,35,181,4,1,HARPOON,4,16,STANDARD,4,40,ASROC,1,8,MK46 TORP,2,6,0,0,0,0,0
DDG,21,Cochrane,ship_combat,Charles F. Adams,0,2,0,30,0,8,16,7,35,184,4,1,HARPOON,4,16,STANDARD,4,40,ASROC,1,8,MK46 TORP,2,6,0,0,0,0,0
DDG,24,Waddell,ship_combat,Charles F. Adams,0,2,0,30,0,8,16,7,35,185,4,1,HARPOON,4,16,STANDARD,4,40,ASROC,1,8,MK46 TORP,2,6,0,0,0,0,0
DDG,934,Callaghan,ship_combat,Kidd,0,2,30,35,0,14,16,50,34,182,5,2,HARPOON,4,8,STANDARD,4,52,ASROC,1,16,MK46 TORP,2,6,2,0,0,0,0
DDG,996,Chandler,ship_combat,Kidd,0,2,30,35,0,14,16,50,34,183,5,2,HARPOON,4,8,STANDARD,4,52,ASROC,1,16,MK46 TORP,2,6,2,0,0,0,0
